Device Type,Origin Zone ID,Origin Zone Name,Origin Zone Is Pass-Through,Origin Zone Direction (degrees),Origin Zone is Bi-Direction,Destination Zone ID,Destination Zone Name,Destination Zone Is Pass-Through,Destination Zone Direction (degrees),Destination Zone is Bi-Direction,Day Type,Day Part,O-D Traffic (Trip Counts),O-D Traffic (StL Index),Origin Zone Traffic (Trip Counts),Origin Zone Traffic (StL Index),Destination Zone Traffic (Trip Counts),Destination Zone Traffic (StL Index),Avg Trip Duration (sec)
Personal,4,Norell Ave,yes,N/A,no,14,Greeley St,yes,N/A,no,0: Average Day (M-Su),3: Mid-Day (10am-3pm),134,195,2479,3600,1873,2720,188
Personal,4,Norell Ave,yes,N/A,no,14,Greeley St,yes,N/A,no,0: Average Day (M-Su),4: Peak PM (3pm-7pm),92,134,1758,2553,1328,1929,157
Personal,4,Norell Ave,yes,N/A,no,14,Greeley St,yes,N/A,no,0: Average Day (M-Su),5: Late PM (7pm-12am),32,46,534,775,507,736,207
Personal,4,Norell Ave,yes,N/A,no,14,Greeley St,yes,N/A,no,1: Average Weekday (Tu-F),0: All Day (12am-12am),197,500,3695,9371,3002,7614,164
Personal,4,Norell Ave,yes,N/A,no,14,Greeley St,yes,N/A,no,1: Average Weekday (Tu-F),1: Early AM (12am-6am),2,5,67,170,17,43,93
Personal,4,Norell Ave,yes,N/A,no,14,Greeley St,yes,N/A,no,1: Average Weekday (Tu-F),2: Peak AM (6am-10am),47,119,908,2303,672,1704,114
Personal,4,Norell Ave,yes,N/A,no,14,Greeley St,yes,N/A,no,1: Average Weekday (Tu-F),3: Mid-Day (10am-3pm),78,198,1370,3475,1161,2945,195
Personal,4,Norell Ave,yes,N/A,no,14,Greeley St,yes,N/A,no,1: Average Weekday (Tu-F),4: Peak PM (3pm-7pm),47,119,1018,2582,829,2102,136
Personal,4,Norell Ave,yes,N/A,no,14,Greeley St,yes,N/A,no,1: Average Weekday (Tu-F),5: Late PM (7pm-12am),23,58,332,842,323,819,223
Personal,4,Norell Ave,yes,N/A,no,14,Greeley St,yes,N/A,no,2: Average Weekend Day (Sa-Su),0: All Day (12am-12am),82,418,1633,8323,1007,5132,141
Personal,4,Norell Ave,yes,N/A,no,14,Greeley St,yes,N/A,no,2: Average Weekend Day (Sa-Su),2: Peak AM (6am-10am),8,41,208,1060,111,566,74
Personal,4,Norell Ave,yes,N/A,no,14,Greeley St,yes,N/A,no,2: Average Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),37,189,777,3960,458,2334,153
Personal,4,Norell Ave,yes,N/A,no,14,Greeley St,yes,N/A,no,2: Average Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),30,153,486,2477,314,1600,148
